x,y,month,day,ffmc,dmc,dc,isi,temp,rh,wind,rain,area
4,6,aug,wed,0.06436811844278757,1.009074305173421,-0.42343552727763806,0.1926397530476384,-1.9614091822484319,-0.14023015009089412,-1.5168127716015802,-0.07319741616621764,1.2289399820342133
7,6,aug,mon,0.15494600966467303,1.4415726880228947,0.18648232956361696,0.12684273543546318,-0.4631206796779996,-0.9369223214864147,1.999493903404473,-0.07319741616621764,0.9548779710018043
6,3,oct,thu,0.2092927443978038,1.9880507890962373,-1.7904093888431998,-0.925909546359338,-2.460838683105243,-1.0594903478549562,0.49250532840187916,-0.07319741616621764,-1.0128983753597676
4,5,sep,sat,0.26001636348205986,0.19185533916831415,0.8941966649704289,-0.022297171152133623,-0.18068468609000995,-1.047233545218102,-0.0991272232658062,-0.07319741616621764,-1.0128983753597676
3,3,oct,sat,0.08248369668716364,-1.070274869410647,0.5471723509837837,-0.3940503206609227,0.12672278254082017,-1.182058374223498,0.12971178256792115,-0.07319741616621764,1.0502900331883118
1,5,sep,tue,-0.08055650751222865,-0.3337004574639347,0.791965886057711,-1.5180827048689138,0.0190871142527144,-1.7948985060662062,-0.23308176326603675,-0.07319741616621764,-1.0128983753597676
8,5,aug,mon,-0.9772776306088953,-0.7693215723195419,0.3586138066761191,-0.925909546359338,-0.3167361708061758,0.2581159356068662,0.24134056590144667,-0.07319741616621764,0.803466201638302
2,3,aug,wed,0.690865199394162,-0.03378807104154077,0.44938259105511597,2.0367839411222115,1.127016926498283,-1.0033133357693746,0.15296777909573897,-0.07319741616621765,0.693547614610554
7,4,aug,tue,0.6476897379117292,1.0334316148212614,0.5862949735921407,0.8199046542837074,0.42896373909382135,1.4899246006107094,1.0953007584029169,2.9001861962429234,-1.0128983753597676
2,5,aug,tue,0.4561174979774415,0.3117292140537594,0.4782391364961074,1.3303798492581658,0.3290778389224591,-0.4543107176602821,-0.31680335076618094,-0.07319741616621764,0.8221811397275868
4,4,dec,fri,-1.1040866783195349,-1.4848175432248538,-1.4353630224103278,-0.7888324263339732,-2.150847958435498,0.6104990114164234,2.487869830488647,-0.07319741616621764,-1.0128983753597676
4,5,mar,mon,0.4266796833303294,0.6515214904711484,0.3662730527303051,-0.925909546359338,-0.6353377489389689,-1.3659104137763103,0.9948348534027436,-0.07319741616621764,1.1728465311460823
4,4,dec,mon,-0.9501042632423286,-1.3345360654296847,-0.7991417021461439,-1.408421008848622,-2.443616976179146,-1.3904240190500186,2.501823428405338,-0.07319741616621764,-1.0128983753597676
