index,class,region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vedge-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturatoin-mean,hue-mean
1124,PATH,0.5083320974847063,1.1582850298311427,,-0.35697002707839776,-0.19450958515968583,0.4304021932376823,-0.10360859154393244,1.0211362275720512,-0.05144384291275275,0.5312635937060063,0.5188460401835214,0.5930077256790648,0.4634815453808616,-0.5446631401216833,0.8477060491058453,-0.8900918739979085,0.5792522833859991,-0.645315501168779,-0.48480706273394
2283,WINDOW,0.37126417966266195,0.49722980494669283,,-0.35697002707839776,-0.19450958515968583,-0.6399894787330774,-0.12656488589054096,-0.08687117150427548,-0.06636371986036789,-0.9336705083805982,-0.9082259734899605,-0.9590137765300509,-0.9175864151418999,0.9900788012235844,-0.9349023191711562,0.591180771344005,-0.9946708245825324,0.05370104327431769,-0.41245092770142755
1491,FOLIAGE,1.0154833934262704,-0.40737208173729117,,-0.35697002707839776,-0.19450958515968583,0.183388694278223,-0.095182070720252,0.005462753026912291,-0.037646742644318755,-0.8114309650241923,-0.8574856374459042,-0.7496950989673518,-0.8320335356492452,0.24189209424243513,-0.2536506878807209,0.18719733914098782,-0.78239831220019,1.5195278753082777,-0.5586811853401503
1235,CEMENT,0.7961747249109994,-0.32039113109460043,,-0.35697002707839776,-0.19450958515968583,0.08046591828114745,-0.10187159589277235,-0.4562075178134364,-0.12908764749354945,0.7466381678141892,0.7757190026447481,0.7946684652091405,0.6529201015777168,-0.34322820301908774,0.9328625681618348,-1.2363633996816206,0.7837587914882584,-0.7091575895387547,-0.40546415984634115
2217,GRASS,-0.6704519957848749,2.184660247414894,,2.4101466249419325,-0.19450958515968583,0.059882148584619786,-0.08130755202144177,-0.02531517564983635,-0.04646332185405239,-0.6203104343170817,-0.5879275945413435,-0.7139577515582749,-0.5325984381755552,0.7982360607136567,-1.1336007103535195,1.1202067123989219,-0.7021489303177223,-0.9795657518860322,2.540764971169646
1436,BRICKFACE,0.3301438043160487,-0.5465416027655964,,-0.35697002707839776,-0.19450958515968583,-0.2488847714297331,-0.11475502848539493,-0.025315231050213136,-0.07518034327912934,-0.3506073360945823,-0.27714304804484324,-0.3182943575643635,-0.45621195728867325,0.9517102565747682,-0.07198362094710363,-0.8323800107625441,-0.3449097885409125,-0.025931808531479018,-0.17787752061954976
1438,BRICKFACE,-0.3689025765763774,-0.07684446929506628,,5.177263276962262,-0.19450958515968583,-0.16654687668987503,-0.11574607735341198,0.03624076480422611,-0.045203884867840494,-0.4049360173740183,-0.327883335568451,-0.38721636501843804,-0.49593295374902696,1.0284473458724004,-0.21391110161321544,-0.6688628917932489,-0.4148044001974791,-0.08182902094835355,-0.13981633444917113
2263,PATH,-1.5065662944993452,1.1408888397026045,,-0.35697002707839776,-0.19450958515968583,-0.14596288468120935,-0.1067441949073404,-0.11764918328158942,-0.09105026883359438,-0.12941199462747646,-0.1280932536541634,-0.08855428676944357,-0.17816509206276024,0.11719435003255295,0.16645440759663607,-0.3995405170900223,-0.1119277030892828,-0.4885052372251414,-0.43685352596286087
1986,BRICKFACE,-1.3283780013306876,0.13190981224739157,,-0.35697002707839776,-0.19450958515968583,-0.6194050532157428,-0.12565643726086695,-0.4562070552202894,-0.13664474448783503,-0.8347146971728047,-0.7464911500305393,-0.8773284333411921,-0.8595326764682821,1.4792778145593777,-0.9689649063560037,0.15834134692578863,-0.8963006332467748,0.6098941318374173,0.31595471713131057
2037,BRICKFACE,-1.2598440424196655,0.44504123456107836,,-0.35697002707839776,-0.19450958515968583,-0.4958982703891925,-0.12169229786903764,-0.47159602232868253,-0.1375893825898204,-0.8279236002254913,-0.819430384699326,-0.8160644190573472,-0.8411999122557053,0.7502753712697131,-0.5999535996869508,0.26414655937577886,-0.8497042138266283,0.663336298788209,-0.40302307172106994
1231,CEMENT,-0.06735315736787986,0.010136481347624501,,-0.35697002707839776,-0.19450958515968583,2.632938839667622,2.3829855961549615,2.421535126335498,2.997346715140093,0.43812880132132737,0.46176315963658215,0.46537427643521206,0.3779286933873478,-0.14179335224572617,0.5411428257548624,-0.7746679743914168,0.4498177138077474,-0.725537334373345,-0.4235208867029359
1064,PATH,1.0566037687728835,1.0191155088028374,,-0.35697002707839776,-0.19450958515968583,0.2451418189169327,-0.08587976832941821,0.1593527011127278,-0.10523257256338271,0.47208416818405485,0.47761955657059013,0.5496124769957682,0.3687623222807157,-0.333636075489807,0.904476959622097,-1.1978887376234961,0.5352446555396945,-0.548782339054727,-0.4052999236598784
1722,FOLIAGE,-0.6156248286560572,-0.6335225534082872,,-0.35697002707839776,4.390359207890052,8.33483464161668,12.649540758002738,11.716487647236422,23.43223866901532,0.7961158429092443,0.7408350835137083,0.7997737480412884,0.8362477987017656,-1.1489677787710015,0.6773932153693489,0.004442871829053997,0.788936118355699,-0.5282817830385342,-0.6854370951069748
