index,sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,rings
2394,I,0.8410812782352128,0.525179522521071,0.48972130319072543,0.8376163113055962,0.8588483447445395,0.8430144066903353,1.014126675988637,14
4010,M,0.7161779872778355,0.6763284567588248,0.25064160667043633,0.6387945669857171,1.1742162937868972,0.5145899553556476,0.04431768839382687,9
4155,I,-0.6993926435724391,-0.5832459952224599,-0.7056771794107191,-0.9140542360869804,-0.90946479810011,-0.8310380049739747,-0.8895724478085827,6
328,M,-1.365543528678451,-1.1374587540942251,-0.8252170276708637,-1.1985222702677307,-1.2293380035573587,-1.164023907021644,-1.0332478533781841,8
133,I,-1.4488123893167024,-1.4901396006489844,-1.0642967241911525,-1.259698191596924,-1.2315906317648042,-1.1366552027437533,-1.2272096508971462,7
3277,F,-0.4912204919768103,-0.18018217058844843,0.011561910150147896,-0.5571946950000178,-0.6594230670736692,-0.666825779306631,-0.17119541996057536,15
3757,I,-0.03324175846642731,0.021349741728556738,0.011561910150147896,-0.26456987130870835,-0.08950813058997951,-0.4706833986484148,-0.3184627106694168,10
1824,I,-2.8227485898478513,-2.749714052630269,-2.379235055052741,-1.634910509082645,-1.5717374910890616,-1.5973617247549121,-1.6510520973274705,5
3490,M,0.09166153249094999,0.1221156978870596,0.48972130319072543,-0.1677079958708185,-0.0512134510634077,-0.2654181165642352,-0.14605222398589507,10
2803,M,1.0492534298308418,1.0290093033135848,0.8483408479711584,1.258710569788212,1.3026161016112856,0.8202071531254265,1.5169905954822422,12
569,F,-0.9491992254871937,-0.8855438636979679,-0.5861373311505745,-0.9007994531323218,-0.8756753749884288,-0.7306860892883758,-1.008104657403504,11
1286,I,-0.19977947974293037,-0.129799192509197,0.011561910150147896,-0.4226076680757918,-0.3012551820898485,-0.5482280607691049,-0.31487082553017676,9
3182,M,1.007618999511716,0.9786263252343333,0.60926115145087,0.9752621342962816,0.3339859724097581,0.7426624910047362,2.019854514975848,10
3469,F,1.5905010239794757,1.784753974502355,2.163279178832748,2.536267726879538,2.2802567436425956,2.088290451334358,2.3431241775074505,10
1367,M,0.7161779872778355,0.7267114348380762,0.7288009997110145,0.628598580097518,0.4376068699522472,0.9981037309317151,0.7770622567987947,10
